Dekade	Title	Number of characters	Max Degree	Average Degree	Density	Average Path Length									
1770	1774-Leisewitz_Johann_Anton-Der_Besuch_um_Mitternacht-speakers	3,00	2,00	2,00	1,00	1,00		1774-Leisewitz_Johann_Anton-Der_Besuch_um_Mitternacht-lina.xml							
1770	1774-Leisewitz_Johann_Anton-Die_Pfandung-speakers	2,00	1,00	1,00	1,00	1,00		1774-Leisewitz_Johann_Anton-Die_Pfandung-lina.xml							
1770	1774-Lenz_Jakob_Michael_Reinhold-Der_Hofmeister_oder_Vorteile_der_Privaterziehung-speakers	24,00	14,00	5,17	0,22	1,97	Komödie	1774-Lenz_Jakob_Michael_Reinhold-Der_Hofmeister_oder_Vorteile_der_Privaterziehung-lina.xml							
1770	1774-Lenz_Jakob_Michael_Reinhold-Der_neue_Menoza_oder_Geschichte_des_cumbanischen_Prinzen_Tandi-speakers	24,00	13,00	7,67	0,33	1,94	Komödie	1774-Lenz_Jakob_Michael_Reinhold-Der_neue_Menoza_oder_Geschichte_des_cumbanischen_Prinzen_Tandi-lina.xml							
1770	1775-Brandes_Johann_Christian-Ariadne_auf_Naxos-speakers	3,00	2,00	1,33	0,67	1,33	Lustspiel	1775-Brandes_Johann_Christian-Ariadne_auf_Naxos-lina.xml							
1770	1775-Goethe_Johann_Wolfgang_von-Erwin_und_Elmire-speakers	4,00	3,00	3,00	1,00	1,00	Schauspiel	1775-Goethe_Johann_Wolfgang_von-Erwin_und_Elmire-lina.xml							
1770	1775-Gotter_Friedrich_Wilhelm-Der_Dorfjahrmarkt-speakers	20,00	16,00	10,30	0,54	1,52	Oper	1775-Gotter_Friedrich_Wilhelm-Der_Dorfjahrmarkt-lina.xml							
1770	1775-Gotter_Friedrich_Wilhelm-Medea-speakers	7,00	6,00	4,57	0,76	1,24		1775-Gotter_Friedrich_Wilhelm-Medea-lina.xml							
1770	1775-Lenz_Jakob_Michael_Reinhold-Die_Freunde_machen_den_Philosophen-speakers	17,00	16,00	7,41	0,46	1,54	Komödie	1775-Lenz_Jakob_Michael_Reinhold-Die_Freunde_machen_den_Philosophen-lina.xml							
1770	1775-Wagner_Heinrich_Leopold-Die_Reue_nach_der_That-speakers	16,00	15,00	10,38	0,69	1,31		1775-Wagner_Heinrich_Leopold-Die_Reue_nach_der_That-lina.xml							
1770	1775-Weidmann_Paul-Johann_Faust-speakers	17,00	12,00	4,47	0,28	1,93	Drama	1775-Weidmann_Paul-Johann_Faust-lina.xml							
1770	1776-Bodmer_Johann_Jacob-Odoardo_Galotti_Vater_der_Emilia-speakers	5,00	3,00	2,00	0,50	1,70		1776-Bodmer_Johann_Jacob-Odoardo_Galotti_Vater_der_Emilia-lina.xml							
1770	1776-Goethe_Johann_Wolfgang_von-Die_Mitschuldigen-speakers	4,00	3,00	3,00	1,00	1,00	Lustspiel	1776-Goethe_Johann_Wolfgang_von-Die_Mitschuldigen-lina.xml							
1770	1776-Goethe_Johann_Wolfgang_von-Stella-speakers	10,00	9,00	7,60	0,84	1,16	Schauspiel	1776-Goethe_Johann_Wolfgang_von-Stella-lina.xml							
1770	1776-Klinger_Friedrich_Maximilian-Die_Zwillinge-speakers	8,00	7,00	5,25	0,75	1,25	Trauerspiel	1776-Klinger_Friedrich_Maximilian-Die_Zwillinge-lina.xml							
1770	1776-Klinger_Friedrich_Maximilian-Die_neue_Arria-speakers	19,00	13,00	6,32	0,35	1,78	Schauspiel	1776-Klinger_Friedrich_Maximilian-Die_neue_Arria-lina.xml							
1770	1776-Klinger_Friedrich_Maximilian-Simsone_Grisaldo-speakers	18,00	16,00	9,33	0,55	1,48	Schauspiel	1776-Klinger_Friedrich_Maximilian-Simsone_Grisaldo-lina.xml							
1770	1776-Leisewitz_Johann_Anton-Julius_von_Tarent-speakers	16,00	9,00	4,13	0,28	1,99	Trauerspiel	1776-Leisewitz_Johann_Anton-Julius_von_Tarent-lina.xml							
1770	1776-Lenz_Jakob_Michael_Reinhold-Der_Engländer-speakers	12,00	11,00	6,33	0,58	1,42		1776-Lenz_Jakob_Michael_Reinhold-Der_Engl%C3%A4nder-lina.xml							
1770	1776-Lenz_Jakob_Michael_Reinhold-Die_Soldaten-speakers	27,00	19,00	7,26	0,28	1,94	Schauspiel	1776-Lenz_Jakob_Michael_Reinhold-Die_Soldaten-lina.xml							
1770	1776-Wagner_Heinrich_Leopold-Die_Kindermörderin-speakers	13,00	10,00	6,62	0,55	1,45	Trauerspiel	1776-Wagner_Heinrich_Leopold-Die_Kinderm%C3%B6rderin-lina.xml							
1770	1777-Klinger_Friedrich_Maximilian-Sturm_und_Drang-speakers	13,00	11,00	7,69	0,64	1,40	Schauspiel	1777-Klinger_Friedrich_Maximilian-Sturm_und_Drang-lina.xml							
1770	1778-Goethe_Johann_Wolfgang_von-Der_Triumph_der_Empfindsamkeit-speakers	13,00	10,00	6,15	0,51	1,54		1778-Goethe_Johann_Wolfgang_von-Der_Triumph_der_Empfindsamkeit-lina.xml							
1770	1778-Goethe_Johann_Wolfgang_von-Proserpina-speakers	2,00	1,00	1,00	1,00	1,00		1778-Goethe_Johann_Wolfgang_von-Proserpina-lina.xml							
1770	1778-Schink_Johann_Friedrich-Hanswurst_von_Salzburg_mit_dem_hölzernen_Gat-speakers	17,00	11,00	3,29	0,21	1,73	Historisches Schauspiel	1778-Schink_Johann_Friedrich-Hanswurst_von_Salzburg_mit_dem_h%C3%B6lzernen_Gat-lina.xml							
1770	1778-Wagner_Heinrich_Leopold-Voltaire_am_Abend_seiner_Apotheose-speakers	3,00	2,00	2,00	1,00	1,00		1778-Wagner_Heinrich_Leopold-Voltaire_am_Abend_seiner_Apotheose-lina.xml							
1770	1779-Brandes_Johann_Christian-Ino-speakers	8,00	5,00	3,25	0,46	1,86	Melodram	1779-Brandes_Johann_Christian-Ino-lina.xml							
1760	1768-Goethe_Johann_Wolfgang_von-Die_Laune_des_Verliebten-speakers	4,00	3,00	2,50	0,83	1,17	Schäferspiel	1779-Goethe_Johann_Wolfgang_von-Die_Laune_des_Verliebten-lina.xml							
1770	1779-Lessing_Gotthold_Ephraim-Nathan_der_Weise-speakers	14,00	9,00	3,86	0,30	1,93		1779-Lessing_Gotthold_Ephraim-Nathan_der_Weise-lina.xml							
1780	1780-Gemmingen-Hornberg_Otto_Heinrich_von-Der_deutsche_Hausvater_oder_die_Familie-speakers	19,00	15,00	7,47	0,42	1,65	Schauspiel	1780-Gemmingen-Hornberg_Otto_Heinrich_von-Der_deutsche_Hausvater_oder_die_Familie-lina.xml							
1780	1780-Törring_Josef_August_von-Agnes_Bernauerin-speakers	26,00	18,00	8,92	0,36	1,82	 Trauerspiel	1780-T%C3%B6rring_Josef_August_von-Agnes_Bernauerin-lina.xml							
1780	1781-Auenbrugger_Johann_Leopold_von-Der_Rauchfangkehrer_oder_Die_unentbehrlichen_Verräther_ihrer_Herrschaften_aus_Eigennutz-speakers	17,00	16,00	9,29	0,58	1,42	Musikalisches Lustspiel	1781-Auenbrugger_Johann_Leopold_von-Der_Rauchfangkehrer_oder_Die_unentbehrlichen_Verr%C3%A4ther_ihrer_Herrschaften_aus_Eigennutz-lina.xml							
