name;title;author;chars;words;speech_acts
VALERIA;Ponce de Leon;Brentano, Clemens;32054;6089;285
BARON;Bürgerlich und Romantisch;Bauernfeld, Eduard von;31977;5735;309
HERMANN;Die Haubenlerche;Wildenbruch, Ernst von;31752;6103;366
KARL;Ein Faust der That;Bleibtreu, Karl;31547;5354;146
FRAU GLAUBELEICHTIN;Die Pietisterey im Fischbein-Rocke;Gottsched, Luise Adelgunde Victorie;31542;5364;230
STRUENSEE;Struensee;Laube, Heinrich;31525;5609;194
PETER;Der Unbedeutende;Nestroy, Johann;31344;5618;161
PRIMISLAUS;Die Gründung Prags;Brentano, Clemens;31273;5763;188
KÃ–NIG;Don Carlos, Infant von Spanien;Schiller, Friedrich;31146;5871;224
QUECKSILBER;Der Barometermacher auf der Zauberinsel;Raimund, Ferdinand;31103;5642;187
NESTOR;Prinz Zerbino oder die Reise nach dem guten Geschmack;Tieck, Ludwig;30981;5523;202
SCHLANKEL;Das Haus der Temperamente;Nestroy, Johann;30956;5567;266
HASEMANN;Hasemann's Töchter;L'Arronge, Adolph;30943;5636;217
LORCHEN;Die Betschwester;Gellert, Christian Fürchtegott;30691;5517;118
PAULINE;Meister Oelze;Schlaf, Johannes;30677;5910;337
ROBERT;Die Schule des Armen oder Zwei Millionen;Kaiser, Friedrich;30671;5598;252
ROBERT;Die Ehre;Sudermann, Hermann;30622;5617;316
DOGE;Abellino;Zschokke, Heinrich;30592;5362;177
MARGARETE;Faust. Der Tragödie erster Teil;Goethe, Johann Wolfgang;30492;2842;95
PARTHENIA;Der Sohn der Wildnis;Halm, Friedrich;30438;6026;222
FLINT;Professor Bernhardi;Schnitzler, Arthur;30438;5174;155
HAITANG;Der Kreidekreis;Klabund;30375;5391;139
FAUST;Faust;Braun von Braunthal, Karl Johann;30143;5551;170
FRAU RICHARDIN;Die Betschwester;Gellert, Christian Fürchtegott;30090;5425;81
GUTTENBERG;Johannes Gutenberg;Birch-Pfeiffer, Charlotte;30069;5390;90
CATO;Der sterbende Cato;Gottsched, Johann Christoph;29936;5580;75
DER ALTE RASCHKE;Die armseligen Besenbinder;Hauptmann, Carl;29878;4906;99
HELL;Der Pfarrer von Kirchfeld;Anzengruber, Ludwig;29838;5439;140
GRACCHUS;Gracchus der Volkstribun;Wilbrandt, Adolf von;29837;5461;127
KÃ–NIG;Zopf und Schwert;Gutzkow, Karl;29805;5119;229
BORÃçS;Die Kinder GodunÃ_fs;Heiseler, Henry von;29667;5974;197
DER BLINDE;Der Bettler von Syrakus;Sudermann, Hermann;29616;5597;185
GERTRUD;Graf Waldemar;Freytag, Gustav;29523;5629;191
STRIESE;Der Raub der Sabinerinnen;Schönthan, Franz und Paul von;29497;5266;156
KLEMENTINA;Klementina von Porretta;Wieland, Christoph Martin;29458;5236;64
FAUST;Faust;Vischer, Friedrich Theodor;29452;5264;149
ALEXÃ‰J;Peter und AlexÃ©j;Heiseler, Henry von;29361;6004;193
DOKTOR FALLMER;Dies irae;Wildgans, Anton;29330;5158;185
FRITZ;Der lustige Fritz oder Schlafe, TrÃ_ume, stehe auf, kleide dich an und bessre dich!;Meisl, Karl;29230;5449;159
JULIO;Die neue Arria;Klinger, Friedrich Maximilian;29224;5434;182
ANSELMO;Ugolino;Gerstenberg, Heinrich Wilhelm von;29211;5199;243
FRAU GENIA;Das weite Land;Schnitzler, Arthur;29197;5284;304
VRONI;Der Meineidbauer;Anzengruber, Ludwig;29109;5681;141
ALBRECHT;Agnes Bernauer;Hebbel, Friedrich;29084;5435;188
LUTHER;Der Sieg des Christos;Sorge, Reinhard Johannes;29051;5381;107
SCHWIGERLING;Fritz Schwigerling oder Der Liebestrank;Wedekind, Frank;28944;4961;306
PHILEMON;Das SchÃ_ferfest oder Die Herbstfreude;Neuber, Friederike Caroline;28862;5401;147
LIPS;Der Zerrissene;Nestroy, Johann;28815;5260;206
VALERIO;Ponce de Leon;Brentano, Clemens;28814;5312;237
OLYMPIE;Halle;Arnim, Ludwig Achim von;28786;5349;145
UGOLINO;Ugolino;Gerstenberg, Heinrich Wilhelm von;28783;4953;180
SCHMUHL;Die verhÃ_ngnisvolle Gabel;Platen, August von;28670;5085;96
BALDINGER;Industrie und Herz;Bauernfeld, Eduard von;28659;5000;246
ADOLPH;Die beiden Klingsberg;Kotzebue, August von;28630;5190;344
KRIEMHILD;Kriemhilds Rache;Hebbel, Friedrich;28619;5573;221
OBERFÃ–RSTERIN;Die JÃ_ger;Iffland, August Wilhelm;28503;5612;267
JULCHEN;Die zÃ_rtlichen Schwestern;Gellert, Christian Fürchtegott;28488;5190;160
ESTRITHE;Canut;Schlegel, Johann Elias;28465;5286;73
LADY JOHANNA GRAY;Lady Johanna Gray oder Der Triumf der Religion;Wieland, Christoph Martin;28408;5114;72
VEIT KUNZ;Franziska;Wedekind, Frank;28383;4777;191
HANSWURST;Hanswurst von Salzburg mit dem hölzernen Gat;Schink, Johann Friedrich;28362;5202;59
LUISE;Kabale und Liebe;Schiller, Friedrich;28353;5177;176
DOMINIQUE;Das Erbtheil des Vaters;Iffland, August Wilhelm;28350;5332;353
ADAM;Der zerbrochene Krug;Kleist, Heinrich von;28314;5254;364
WILLHELM;Lucie Woodvil;Pfeil, Johann Gottlob Benjamin;28255;4931;101
OBERST;Die Journalisten;Freytag, Gustav;28197;4994;172
VANZETTI;StaatsrÃ_son;Mühsam, Erich;28087;4840;145
YNGURD;König Yngurd;Müllner, Adolph;27943;5308;145
FRANZISKA;Franziska;Wedekind, Frank;27740;4881;304
FRU;Bahnmeister Dood;BoÃŸdorf, Hermann;27738;5969;307
JULIUS;Julius von Tarent;Leisewitz, Johann Anton;27728;5073;120
SIMPLIZIUS;Die unheilbringende Zauberkrone oder König ohne Reich, Held ohne Mut, Schönheit ohne Jugend;Raimund, Ferdinand;27672;5134;223
CATO;Gottsched und Gellert;Laube, Heinrich;27629;4699;179
HETMANN;Hidalla oder Sein und Haben;Wedekind, Frank;27624;4636;132
UNTERSUCHUNGSRICHTER;In Ewigkeit Amen;Wildgans, Anton;27281;4544;169
SCHOLZ;Der Marquis von Keith;Wedekind, Frank;27194;4657;140
BARON;Der Abenteurer und die SÃ_ngerin oder Die Geschenke des Lebens;Hofmannsthal, Hugo von;27180;5049;203
SUSE;Die Walpurgisnacht;Birch-Pfeiffer, Charlotte;27164;5129;108
TEUFEL;Das Liebeskonzil;Panizza, Oskar;27118;4876;58
SACHS;Die Meistersinger von Nürnberg;Wagner, Richard;27117;5298;176
HUGO;Die Schuld;Müllner, Adolph;27114;5191;173
LULU;Erdgeist;Wedekind, Frank;27095;5050;457
RUSTAN;Der Traum ein Leben;Grillparzer, Franz;27084;5115;221
ERNST;Agnes Bernauer;Hebbel, Friedrich;27055;4912;104
DANTON;Dantons Tod;Büchner, Georg;27055;4869;118
LEA;Die MakkabÃ_er;Ludwig, Otto;26931;5193;186
THEOPHAN;Der Freigeist;Lessing, Gotthold Ephraim;26913;4809;186
GIESECKE;Im weiÃŸen RöÃŸl;Blumenthal, Oskar;26726;4905;286
MARINELLI;Emilia Galotti;Lessing, Gotthold Ephraim;26718;5013;221
WEINBERL;Einen Jux will er sich machen;Nestroy, Johann;26679;4963;245
ADELHEID;Die Journalisten;Freytag, Gustav;26656;4809;191
PHILOTAS;Philotas;Lessing, Gotthold Ephraim;26648;4937;83
MEISTER ANTON;Maria Magdalene;Hebbel, Friedrich;26562;4896;85
FLOTTWELL;Der Verschwender;Raimund, Ferdinand;26537;4830;193
KARL;Lucie Woodvil;Pfeil, Johann Gottlob Benjamin;26517;4565;107
GYGES;Gyges und sein Ring;Hebbel, Friedrich;26491;5150;179
DONNA SOLINA;Die neue Arria;Klinger, Friedrich Maximilian;26459;4888;160
LANDRATH;Die Gunst des Augenblicks;Devrient, Philipp Eduard;26232;4812;231
ZWRATKA;Die Gründung Prags;Brentano, Clemens;26182;4810;85
HERR VON WALLENFELD;Der Spieler;Iffland, August Wilhelm;26134;4893;341
GRAF;Der GroÃŸkophta;Goethe, Johann Wolfgang von;26116;4593;162
JEDERMANN;Jedermann;Hofmannsthal, Hugo von;26083;5116;181
GRANVILLE;Der Freigeist;Brawe, Joachim Wilhelm von;26049;4495;54
BARONIN;Kritik und Antikritik;Raupach, Ernst;26036;4587;233
GOTTFRIED;Armut;Wildgans, Anton;26015;4543;139
ZRINY;Zriny;Körner, Theodor;25980;4813;101
ERNST GOTTHART;Der Hypochondrist;Quistorp, Theodor Johann;25906;4729;256
MORITZ;Frühlings Erwachen;Wedekind, Frank;25896;4634;106
HOLOFERNES;Judith;Hebbel, Friedrich;25854;4757;113
GROBIAN;Der Bookesbeutel;Borkenstein, Hinrich;25829;4654;132
ANNA;Das Bergwerk zu Falun;Hofmannsthal, Hugo von;25823;5171;172
FRÃ„ULEIN AMALIE;Das Testament;Gottsched, Luise Adelgunde Victorie;25759;4652;295
PETER;Das Gericht von St. Petersburg;Immermann, Karl;25743;4704;173
PHAON;Sappho;Grillparzer, Franz;25711;4812;151
LULU;Die Büchse der Pandora;Wedekind, Frank;25683;4583;210
DER PRINZ;Emilia Galotti;Lessing, Gotthold Ephraim;25666;4799;157
PHILIPP KLAPPROTH;Pension Schöller;Laufs, Carl;25659;4486;256
MUDDER;Mudder Mews;Stavenhagen, Fritz;25613;5459;228
JULIAN;Der einsame Weg;Schnitzler, Arthur;25581;4682;230
SOSIAS;Amphitryon;Kleist, Heinrich von;25579;4819;175
VALENTIN;Der Verschwender;Raimund, Ferdinand;25554;4778;165
DEMETRIUS;Demetrius;Hebbel, Friedrich;25510;4906;220
BURIDAN;Die Zensur;Wedekind, Frank;25444;4316;100
ANDREAS HOFER;Andreas Hofer, der Sandwirt von Passeyer;Immermann, Karl;25436;4745;142
STEINKLOPFERHANNS;Die Kreuzelschreiber;Anzengruber, Ludwig;25426;5012;153
BASTIANO;Simsone Grisaldo;Klinger, Friedrich Maximilian;25380;4573;152
